"course_code","course_name","description","credits","prerequisites","department","instructors"
"EEE4310","VLSI Circuits and Technology 1","Introduction to VLSI circuit technology and manufacturing. Fabrication, device models, layout, parasitics, and simple gate circuits.","3","Prereq: EEE 3308C and EEL 3701C.","Electrical and Computer Engineering","Domenic Forte"
"EEE4329","Future of Microelectronics Technology","Surveys state-of-the-art microelectronics technology and prospects for future technologies. Topics include nanoscale MOSFETs, strained Si, high-k gate dielectrics, carbon nanotubes, molecular electronics and single-electron devices.","3","Prereq: EEE 3396 or equivalent.","Electrical and Computer Engineering","Scott Thompson"
"EEE4423","Introduction to Quantum Computing","Introduces quantum computing concepts and hardware implementations in a self-contained manner and discusses fundamentals of quantum mechanics. Also introduces important concepts of superposition and entanglement, hardware realization of quantum computing technologies, and quantum computing algorithms.","3","Prereq: EEE 3396 with a minimum grade of C and (MAS 3114 with a minimum grade of C or EEL 3850 with a minimum grade of C).","Electrical and Computer Engineering","Jing Guo"
"EEE4511C","Real Time Digital Signal Processing Applications","Real world digital signal processing (DSP) tasks are presented and solved in a lab environment that utilizes a Floating Point DSP and a development simulation and hardware emulation tool. Laboratory.","4","Prereq: EEL 3135 and EEL 3744C.","Electrical and Computer Engineering","Tan Wong"
"EEE4720","Acoustics","Governing equations for wave theory of sound; Character of plane acoustic waves and 3-D acoustic fields; Sound transmission/reflection at an interface between two media; Waves transmission/attenuation inducts; Low frequency approximations (lumped-element modeling) and transducers; sources of sound.","3","Prereq: MAP 2302 and (EEL 3111C or EEL 3003) with minimum grades of C or instructor permission.","Electrical and Computer Engineering","Mark Sheplak"
"EEE4773","Fundamentals of Machine Learning","Overview of machine intelligence and the role of machine learning in a variety of real-world problems. Probability and statistics to handle uncertain data. Topics covered include: learning models from data in both a supervised and unsupervised fashion, linear models and non- linear models for classification, and linear dimensionality reduction.","3","Prereq: EEL 3135 and EEL 3850 with minimum grades of C.","Electrical and Computer Engineering","Catia Silva"
"EEE4800","Neural Signals, Systems, and Technology","Biophysical principles of neural signaling; characterization of neural circuits and systems; technology design principles for interfacing with biological neural systems; overview of clinical and consumer applications for neurotechnology and artificial intelligence.","3","Prereq: EEL 3850 with a minimum grade of C.","Electrical and Computer Engineering","Karim Oweiss"
"EEE5283","Neural Signals, Systems and Technology","Biophysical principles of neural signaling, characterization of neural circuits and systems, technology design principles for interfacing with biological neural systems, overview of clinical applications and industrial opportunities for neurotechnology.","3","Prereq: Graduate standing in engineering and/or neuroscience or undergraduate senior standing with consent of instructor.","Electrical and Computer Engineering","Karim Oweiss"
"EEE5322","VLSI Circuits and Technology 1","Introduction to VLSI circuit technology and manufacturing. Fabrication, device models, layout, parasitics, and simple gate circuits.","3","Prereq: Electronic Circuits. Students may not take this course if they have already taken EEE 4310.","Electrical and Computer Engineering","Domenic Forte"
"EEE5354L","Semiconductor Device Fabrication Laboratory","This course will be offering hands-on experience in semiconductor material characterization and device fabrication techniques.","3","","Electrical and Computer Engineering","Jack Judy"
"EEE5364","Fundamentals of Data Converters","Exploring different data conversion techniques with an emphasis on IC implementation. Discussion of circuit building blocks and the effects of their non-idealities in the overall system performance will be analyzed.","3","Prereq: Basic Electronic Circuits.","Electrical and Computer Engineering","Nima Maghari"
"EEE5400","Future of Microelectronics Technology","Survey of state-of-the-art microelectronics technology and prospects for future technologies. Nanoscale MOSFETs, strained Si, high-K gate dielectrics, carbon nanotubes, molecular electronics, and single-electron devices.","3","Prereq: Solid State Devices.  Students may not take this course if they have already taken EEE4329.","Electrical and Computer Engineering","Scott Thompson"
"EEE5467","Micro/Nano Machined Metamaterials","Study course on the micro-/nano machined metamaterials and their applications for radio frequency (RF) and microwave devices including transmission line, waveguides, resonators, filters, and antennas.","3","Prereq: Electromagnetic Fields and Applications","Electrical and Computer Engineering","Yong-Kyu Yoon"
"EEE5590","Introduction to Quantum Computing","Introduces quantum computing concepts and the hardware implementations in a self-contained manner to Electrical and Computer Engineering students. Teaches fundamentals of quantum mechanics and introduces important concepts of superposition and entanglement, hardware realization of quantum computing technologies and quantum computing algorithms.","3","Prereq: Solid State Devices and linear algebra or equivalent","Electrical and Computer Engineering","Jing Guo"
"EEE5725","Acoustics","Governing equations for wave theory of sound; Character of plane acoustic waves and 3-D acoustic fields; Sound transmission/reflection at an interface between two media; Waves transmission/attenuation inducts; Low frequency approximations (lumped-element modeling) and transducers; sources of sound.","3","Prereq: Permission of instructor.  Students may not take this course if they have already taken EEE4720.","Electrical and Computer Engineering","Mark Sheplak"
"EEE6321","Analog IC Design II","Design of analog circuits in CMOS IC technology. MOS switches, MOS op amp circuits, circuit simulation using SPICE.","3","Prereq: EEE 5320 .","Electrical and Computer Engineering","Nima Maghari"
"EEE6323","VLSI Circuits and Technology 2","Advanced very large scale integrated circuit design, testability, and performance evaluation. Use of industrial VLSI software. Building an advanced CMOS VLSI circuit.","3","Prereq: EEE 5322 .","Electrical and Computer Engineering","Swarup Bhunia"
"EEE6431","Carbon Nanotubes","Basic semiconductor and solid-state physics of carbon nanotubes, nanotube geometrical and electronic structure, and current nanotube research.","3","Prereq: EEE 5426.","Electrical and Computer Engineering","Ant Ural"
"EEE6465","Design of MEMS Transducers","Design of MEMS transducer systems with physical, technological and economic constraints.","3","Prereq: EEL 5225.","Electrical and Computer Engineering","Toshikazu Nishida"
"EEE6512","Image Processing and Computer Vision","Pictorial data representation; feature encoding; spatial filtering; image enhancement; image segmentation; cluster seeking; two-dimensional z-transforms; scene analysis; picture description language; object recognition; pictorial database; interactive graphics; picture understanding machine.","3","Prereq: Digital Signal Processing.","Electrical and Computer Engineering","Damon Woodard"
"EEE6545","Stochastic Methods for Engineering 2","An introduction to stochastic process theory with emphasis on applications to communications, control, signal processing and machine learning. The course covers basic models, including Markov processes, and how they lead to algorithms for classification prediction, inference and model selection.","3","Prereq: EEE 5544. Experience with Matlab or Python is essential.","Electrical and Computer Engineering","Sean Meyn"
"EEL3000","Introduction to Electrical Engineering","Introduces the profession of electrical engineering. Presents career development and enhancement, professional codes of conduct, ethics, entrepreneurship, intellectual property, professional societies. Projects provide hands-on experience with soldering, MATLAB programming, and microcontrollers.","2","Prereq: MAC 2311 with minimum grade of C or appropriate AP/IB score and Electrical Engineering majors only.","Electrical and Computer Engineering","Mark Law"
"EEL3008","Physics of Electrical Engineering","Introduces the fundamental physics underlying components and devices and their application to electronics, power, and wireless.","3","Prereq: EEL 3111C and MAC 2313 and MAP 2302.","Electrical and Computer Engineering","Yingying Wu"
"EEL3111C","Circuits 1","Basic analysis of DC and AC electric circuits. Laboratory.","4","Prereq: MAC 2312 and PHY 2049.","Electrical and Computer Engineering","Keith Rambo, Erin Patrick"
"EEL3112","Circuits 2","Continuous-time signals and linear systems: Fourier series and transforms, frequency, response, Laplace transform and system function, analog filters; emphasis on electrical circuits. Sampling.","3","Prereq: EEL 3000 and EEL 3111C and EEL 3135 and EGN 2020C and MAP 2302, all with minimum grades of C.","Electrical and Computer Engineering","Mark Sheplak"
"EEL3135","Introduction to Signals and Systems","Continuous-time and discrete-time signal analysis including Fourier series and discrete-time and discrete Fourier transforms; sampling; discrete-time linear system analysis with emphasis on FIR and IIR systems: impulse response, frequency response, and system function; MATLAB-based programming for Signals and Systems.","4","Prereq: MAC 2313 and (EEL 3834 or COP 3503Cor COP 3504C or COP 2274) all with minimum grades of C.","Electrical and Computer Engineering","Sanjeev Koppal, Joel Harley"
"EEL3402","Remote Sensing in Engineering: Science, Sensors and Applications","Remote sensing theory, systems and applications using information obtained from the visible/near infrared, thermal infrared and microwave regions of the EM spectrum.","3","Prereq: MAP 2302 or equivalent.","Electrical and Computer Engineering","Jasmeet Judge"
"EEL3472","Fundamentals of Electromagnetic Fields","Transmission lines, vector analysis, electrostatics, magnetostatics, time-varying fields, plane waves.","3","Prereq: EEL 3008.","Electrical and Computer Engineering","Vladimir Rakov"
"EEL3701C","Digital Logic and Computer Systems","Overview of logic design, algorithms, computer organization and assembly language programming and computer engineering technology. Laboratory.","4","Prereq: Knowledge of a programming language.","Electrical and Computer Engineering","Eric Schwartz"
"EEL3834","Programming for Electrical Engineering 1","Develops computer skills and the art of writing sound computer programs using examples and exercises relevant to electrical and computer engineering.","3","","Electrical and Computer Engineering","Zoleikha Biron"
"EEL3850","Data Science for ECE","Analysis, processing, simulation, and reasoning of data. Includes data conditioning and plotting, linear algebra, statistical methods, probability, simulation, and experimental design.","4","Prereq: MAC 2312 and (EEL 3834 or COP 3503 or COP 3504C or COP 2274), all with minimum grades of C.","Electrical and Computer Engineering","Kamran Mohseni, John Shea"
"EEL3923C","Electrical Engineering Design 1","Teams design, produce, and report on a hardware prototype, meeting defined specifications and using a structured design methodology. Includes project management, hardware prototyping, and project reporting.","3","Prereq: (EEE 3308C and EEL 3112 and EEL 3701C with minimum grades of C) and 2 courses from breadth elective list.","Electrical and Computer Engineering","Erin Patrick, Michael Stapleton, Eric Liebner"
"EEL4251","Power System Analysis","Development of power system equivalents by phase network analysis, load flow, symmetrical components, sequence networks, and fault analysis.","3","Prereq: EEL 3211C.","Electrical and Computer Engineering","Keith Rambo"
"EEL4599","Wireless and Mobile Networks","Senior-level study of wireless and mobile networks. Investigates telecommunication architectures and protocols for wireless sensor networks and wireless embedded systems; Wi-Fi and wireless local area networks; mobile ad-hoc networks; next generation cellular systems and satellite networks.","3","Prereq: EEL 3701C.","Electrical and Computer Engineering","Janise Mcnair"
"EEL4610","State Variable Methods in Linear Systems","Development of state-variable approach to linear continuous-time and discrete-time systems with emphasis on the design of feedback control systems.","3","Prereq: EEL 4657C.","Electrical and Computer Engineering","Jie Fu"
"EEL4712C","Digital Design","Advanced modular logic design, design languages, finite state machines and binary logic. Laboratory.","4","Prereq: EEL 3701C.","Electrical and Computer Engineering","Rickard Ewetz"
"EEL4713C","Digital Computer Architecture","The use of electronic digital modules to design computers. Includes the organization and operation of computers, hardware/software trade-offs and design of computer interfacing. Laboratory.","4","Prereq: EEL 3701C and EEL 4712C.","Electrical and Computer Engineering","Guanpeng Li"
"EEL4732","Advanced Systems Programming","Develop a deep understanding of operating system concepts and systems programming fundamentals and gain hands-on experience in systems programming by using Pthreads as well as implementing Linux device drivers and testing/verifying systems code for deadlock and race-freedom.","3","Prereq: EEL 3701C and (COP 2271 or COP 2273 or COP 2274 or COP 3502 or COP 3502C or COP 3503 or COP 3503C or COP 3504 or COP 3504C or EEL 3834 or equivalent) and COP 4600.","Electrical and Computer Engineering","Tuba Yavuz"
"EEL4744C","Microprocessor Applications","Experience in the elements of microprocessor-based systems, hardware interfacing and software design for their application. Laboratory.","4","Prereq: EEL 3701C (with minimum grade of C) and (EEL 3834 or COP 3503C or COP 3504C or COP 2274 or equivalent with minimum grades of C).","Electrical and Computer Engineering","Eric Schwartz"
"EEL4837","Programming for Electrical Engineering 2","Fundamentals of data structures and algorithms, including lists, queues, stacks, divide-and-conquer, dynamic programming, trees, tables, graphs and recursive techniques. The role of specific data structures in electrical engineering applications.","3","Prereq: EEL 3834 or COP 2274 or COP 3503C or COP 3504C or equivalent, all with minimum grades of C.","Electrical and Computer Engineering","SANDIP RAY"
"EEL4853","Cross Layered System Security","Develop an understanding of the principles of computer security, as it crosses layers of abstraction (application, operating system, hardware, and network). Learn the challenges of building secure computer systems with examples and hands-on assignments. Current research on these challenges will be discussed. Students will review and present conference papers.","3","Prereq: (EEL 3834 or COP 3503C or COP 3504C or COP 2274 or equivalent) and (EEL 4736 or equivalent), all with a minimum grades of C.","Electrical and Computer Engineering","Janise Mcnair"
"EEL4905","Individual Problems in Electrical Engineering","Selected problems or projects in the student's major field of engineering study.","0","","Electrical and Computer Engineering",""
"EEL4924C","Electrical Engineering Design 2: ELEC ENGR DESIGN 2","Selected design projects involving engineering applications in the various areas of electrical engineering.  Laboratory.","3","Prereq: EEL 3923C and two breadth electives and one depth elective.","Electrical and Computer Engineering","Bill Eisenstadt, Michael Stapleton"
"EEL4930","Special Topics in Electrical Engineering: Power Electronics II","Special courses covering selected topics in electrical engineering.","3","","Electrical and Computer Engineering","Christophe Bobda, Uf Staff"
"EEL4948","Practical Work in Electrical and Computer Engineering","One term industrial employment, including extra work according to a pre-approved outline. Practical engineering work under industrial supervision, as set forth in the Herbert Wertheim College of Engineering regulations.","3","Prereq: EEL 3111C and EEL 3701C and sophomore standing or consent of undergraduate coordinator/supervising faculty mentor. Must have a full time internship defined as working for a minimum of 40 hours per week for a minimum of 10 weeks (400 hours).","Electrical and Computer Engineering",""
"EEL5182","State Variable Methods in Linear Systems","Linear algebra and state variable methods for design and analysis of discrete and continuous linear systems.","3","Prereq: Linear Controls.  Students may not take this course if they have already taken EEL4610.","Electrical and Computer Engineering","Jie Fu"
"EEL5733","Advanced Systems Programming","Develop a deep understanding of operating system concepts and systems programming fundamentals and gain hands-on experience in systems programming by using Pthreads as well as implementing Linux device drivers and testing/verifying systems code for deadlock and race-freedom.","3","Prereq: Operating Systems and Architecture (Prerequisites allow students to register for course without departmental intervention. Students are expected to review the syllabus and consult the instructor if they have questions regarding prerequisites.)","Electrical and Computer Engineering","Tuba Yavuz"
"EEL5737","Principles of Computer System Design","This class will be providing a broad introduction to the main principles and abstractions for engineering hardware and software systems, and in-depth studies of their use on computer systems across a variety of designs, be it in operating system, a client/server application, a database server, or a fault-tolerant disk cluster.","3","Prereq: Dig. Des. and Comp. Prog.. The project’s programming component uses a scripting language (Python) and requires basic understanding of data structures, algorithms, and Unix. Students may not take this course if they have taken EEL 4736.","Electrical and Computer Engineering","Jose Fortes"
"EEL5739","IoT Security and Privacy","Introduce the advanced topics of IoT security and privacy challenges. Systematically analyze IoT security from hardware, communication, and system perspectives.","3","Prereq: Knowledge of microprocessor applications and proficiency in programming in C.","Electrical and Computer Engineering","Christophe Bobda"
"EEL5840","Fundamentals of Machine Learning","Engineering and hardware concepts pertaining to design of intelligent computer systems.","3","Prereq: None; Students may not take this course if they have already taken EEE 4773.","Electrical and Computer Engineering","Catia Silva"
"EEL5855","Cross Layered Systems Security","Develop an understanding of the principles of computer security, as it crosses layers of abstraction (application, operating system, hardware and network). Students will learn challenges of building secure computer systems with examples and hands-on assignments. Current research on these challenges will be discussed. Students will review and present conference papers.","3","Prereq: Programming knowledge & Principles of computer systems design knowledge","Electrical and Computer Engineering","Janise Mcnair"
"EEL5905","Individual Work","Selected problems or projects.","0","Prereq: consent of adviser.","Electrical and Computer Engineering",""
"EEL5934","Special Topics in Electrical Engineering: Autonomous Robots","Special Topics in Electrical Engineering","3","","Electrical and Computer Engineering","Md Jahidul Islam"
"EEL6246","Power Electronics II","Advanced topics including the modeling of single and three-phase power electronics systems, control design for single and three-phase power electronics systems, reduction and modeling of EMI for power electronics systems and resonant power converters.","3","Prereq: EEE 5317C or equivalent.","Electrical and Computer Engineering","Christophe Bobda"
"EEL6487","Electromagnetic Field Theory and Applications II","Electromagnetic radiation, antennas, wave propagation in anisotropic media.","3","Prereq: EEL 5486.","Electrical and Computer Engineering","Robert Moore"
"EEL6532","Information Theory","Applications of information theory to communications and other releated areas.","3","Prereq: EEE 5544 or equivalent.","Electrical and Computer Engineering","Mingyue Ji"
"EEL6533","Data Analytics and Decision Sciences","Hypothesis testing of signals in the presence of noise by Bayes, Neyman-Pearson, minimax criteria; estimation of signal parameters.","3","Prereq: EEE 5544.","Electrical and Computer Engineering","Jian Li"
"EEL6537","Spectral Sensing and Sparse Signal Recovery","Measurement and analysis of signals and noise. Digital filtering and spectral analysis; fast Fourier transform.","3","Prereq: EEE 5544, EEE 5502 .","Electrical and Computer Engineering","Jian Li"
"EEL6591","Wireless Networks","Design and analysis of wireless networks including channel characteristics, physical layer, cellular concepts, multiple access control protocols, FEC and ARQ protocols, resource allocation, and wireless standards.","3","Prereq: EEL 5718 and knowledge of probability and statistics.","Electrical and Computer Engineering","Jie Xu"
"EEL6761","Cloud Computer Systems and Applications","A broad introduction to cloud and distributed computing, big data platforms and intelligent platforms. It covers system architecture, programming models, algorithmic design, and big data applications. Selected applications will be used as case studies.","3","Prereq: EEL 5737 or EEL 5764. Instructor approval possible if student demonstrates familiarity with algorithms, data structure, computer systems, and programming (such as Java, Python, C/C++, Go, Scala).","Electrical and Computer Engineering","Jose Fortes"
"EEL6763","Parallel Computer Architecture","Advanced architecture emphasizing design and quantitative analysis of parallel architecture and systems, including theory, hardware technologies, parallel and scalable architectures, and software constructs.","3","Prereq: EEL 5764.","Electrical and Computer Engineering","Herman Lam"
"EEL6905","Individual Work","Selected problems or projects.","0","Prereq: consent of adviser.","Electrical and Computer Engineering",""
"EEL6933","Electrical and Computer Engineering Graduate Seminar","Exploring ECE research through presentations by faculty members, graduate students, and invited speakers.","1","Prereq: Graduate student status","Electrical and Computer Engineering","Christophe Bobda"
"EEL6935","Special Topics in Electrical Engineering: From Qubits to Quantum Sensors","Special Topics in Electrical Engineering","3","","Electrical and Computer Engineering","Elham Heidari"
"EEL6940","Supervised Teaching","Supervised Teaching","0","","Electrical and Computer Engineering","Christophe Bobda"
"EEL6971","Research for Master's Thesis","Research for Master's Thesis","0","","Electrical and Computer Engineering",""
"EEL7979","Advanced Research","Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.","0","","Electrical and Computer Engineering",""
"EEL7980","Research for Doctoral Dissertation","Research for Doctoral Dissertation","0","","Electrical and Computer Engineering",""
"MAA4102","Introduction to Real Analysis 1","Theory of real numbers, functions of one variable, sequences, limits, continuity and differentiation; continuity and differentiability of functions of several variables. Those who plan to do graduate work in mathematics should take MAA 4211. Credit will be given for, at most, one of MAA 4102, MAA 4211, or MAA 5104.","3","Prereq: (MAC 2313 or MAC 3474) and (MAS 4105 or MAS 3114) with minimum grades of C.","Mathematics","Jason Nowell, Chamila Malagoda Gamage"
"MAA4103","Introduction to Real Analysis 2","Continues the advanced calculus for engineers and physical scientists sequence. Theory of integration, transcendental functions and infinite series. MAA 4102 is not recommended for those who plan to do graduate work in mathematics; these students should take MAA 4212. Credit will be given for, at most, one of MAA 4103, MAA 4212 and MAA 5105.","3","Prereq: MAA 4102 with minimum grade of C.","Mathematics","Cheng Yu"
"MAA4212","Real Analysis and Advanced Calculus 2","Continues the advanced calculus sequence in limits, differentiation, integration and series. Credit will be given for, at most, one of MAA 4212, MAA 4103 and MAA 5105.","3","Prereq: MAA 4211 with minimum grade of C, taken the previous semester.","Mathematics","Jeremy Booher"
"MAA4227","Introduction to Modern Analysis 2","Continues the modern analysis sequence discussing the topology of metric spaces, numerical sequences and series, continuity, differentiation, the Riemann-Stieltjes integral, sequences and series of functions, the Stone-Weierstrass theorem, functions of several variables, Stokes' theorem and the Lebesgue theory. Credit will be given for, at most, MAA 4227 or MAA 5229.","3","Credits: 3; Prereq: MAA 4226 with minimum grade of C, taken the previous semester.","Mathematics","Michael Jury, Libin Rong"
"MAA4402","Functions of a Complex Variable","Complex numbers, analytic functions, Cauchy-Riemann equations, harmonic functions, elementary functions, integration, Cauchy-Goursat theorem, Cauchy integral formula, infinite series, residues and poles, conformal mapping. Credit will be given for, at most, MAA 4402 or MAA 5404.","3","Prereq: (MAC 2313 or MAC 3474) and MAP 2302 with minimum grades of C.","Mathematics","Paul Robinson, Luca Di Cerbo, Eric Evert, Frank Garvan"
"MAA5104","Advanced Calculus for Engineers and Physical Scientists I","Advanced Calculus for Engineers and Physical Scientists I","3","","Mathematics","Jason Nowell"
"MAA5105","Advanced Calculus for Engineers and Physical Scientists II","Advanced Calculus for Engineers and Physical Scientists II","3","Prereq: MAA 5104.","Mathematics","Cheng Yu"
"MAA5229","Modern Analysis II","Modern Analysis II","3","Prereq: MAA 5228.","Mathematics","Michael Jury, Libin Rong"
"MAA5404","Introduction to Complex Variables for Engineers and Physical Scientists","Introduction to Complex Variables for Engineers and Physical Scientists","3","","Mathematics","Luca Di Cerbo, Paul Robinson, Frank Garvan, Eric Evert"
"MAA6617","Analysis II","Continuation of MAA 6616 Analysis I.","3","Prereq: MAA 6616.","Mathematics","Scott Mccullough"
"MAC1105","Basic College Algebra","In this course, students will develop problem solving skills, critical thinking, computational proficiency, and contextual fluency through the study of equations, functions, and their graphs. Emphasis will be placed on quadratic, exponential, and logarithmic functions. Topics will include solving equations and inequalities, definition and properties of a function, domain and range, transformations of graphs, operations on functions, composite and inverse functions, basic polynomial and rational functions, exponential and logarithmic functions, and applications.","3","Prereq: completion of the ALEKS placement exam.","Mathematics","Lezhi Liu, Leo Adaryukov, Kirby Brown"
"MAC1114","Trigonometry","Trigonometric functions and their properties and graphs, inverse trigonometric functions and their properties and graphs, trigonometric identities, conditional trigonometric equations, solutions of triangles, and applications.","2","","Mathematics","George Roman, Zachariah Ross, Fatima Akinola, Justin Young, Brendan Williams, David Maynoldi"
"MAC1140","Precalculus Algebra","College algebra, functions, coordinate geometry, exponential and logarithmic functions. (M)","3","Prereq: MAC 1105 with a minimum grade of C or (ALEKS >=46%).","Mathematics","Jason Nowell, Yazan Alamoudi"
"MAC1147","Algebra and Trigonometry","College algebra, functions, coordinates geometry, exponential and logarithmic functions, and trigonometry. This fast-paced course is designed as a review of algebra and trigonometry to prepare the student for calculus. This course assumes prior knowledge of intermediate algebra (algebra 2) and trigonometry.","4","Prereq: ALEKS >=61%, if taken January 1, 2020 or later, or ALEKS >= 50, if taken before January 1, 2020.","Mathematics","Patrick Carmichael, Okon Emmanuel, Satyanath Howladar"
"MAC2233","Survey of Calculus 1","Geometric and heuristic approach to calculus; differentiation and integration of simple algebraic and exponential functions; applications to graphing, marginal analysis, optimization, areas and volumes.","3","Prereq: Any of: min acceptable score on the online math placement exam; min grade of C in MAC1140 or higher; AP cr. for MAC2311; IB cr. for MAC1140 or higher. Course grades, AP/IB scores used to meet this prereq must be on file at UF by registration.","Mathematics","ALEXANDER YORK, Libin Rong, Valentino Vito, Larissa Williamson"
"MAC2234","Survey of Calculus 2","Sequences, geometric and Taylor series; systems of linear equations, Gaussian elimination, matrices, determinants and vectors; partial differentiation, multiple integrals; applications to marginal analysis, least-squares and Lagrange multipliers. (M)","3","Credits: 3; Prereq: MAC 2233 with minimum grade of C, or the equivalent.","Mathematics","Kevin Knudson, Jiun Cho"
"MAC2311","Analytic Geometry and Calculus 1","In this course, students will develop problem solving skills, critical thinking, computational proficiency, and contextual fluency through the study of limits, derivatives, and definite and indefinite integrals of functions of one variable, including algebraic, exponential, logarithmic, and trigonometric functions, and applications. Topics will include limits, continuity, differentiation and rates of change, optimization, curve sketching, and introduction to integration and area.","4","Prereq: Any of: min. acceptable score on the online math placement exam; a grade of C in MAC1147 or higher; AP cr. for MAC 2311; IB cr. for MAC1147 or higher. Course grades, AP/IB scores used to meet this prereq must be on file at UF by registration.","Mathematics","John Streese, Maguette Beye, Julian Michele, Aleksandr Mkrtchyan, Cayley Robinson, Laureline Polli, Quinn Hartman, Jensen Bridges, Jenna Fant, Aritram Dhar"
"MAC2312","Analytic Geometry and Calculus 2","Techniques of integration; applications of integration; differentiation and integration of inverse trigonometric, exponential and logarithmic functions; sequences and series. (Note: Credit will be given for at most one of MAC 2312, MAC 2512 and MAC 3473.)","4","Prereq: MAC 2311 or MAC 3472 with a minimum grade of C.","Mathematics","Kwai-Lee Chui, Stephen Adams, Carl Ye, Parisa Azizi, Avi Mukhopadhyay, Joseph Litvin, Saketh Narayanan, Jack Chou, Lauren Craddock, Minseo Cho, Harris Barton, Robin Maier, Harshika Rathi, Madeline Berryman-Dages, Emma Thomas, Theodosios Aivalis, Vangmay Jayant, Nolan Ison, Joshua Arroyo"
"MAC2313","Analytic Geometry and Calculus 3","Solid analytic geometry, vectors, partial derivatives, multiple integrals. (Note: Credit will be given for at most one of MAC 2313 and MAC 3474.)","4","Prereq: MAC 2312 or MAC 2512 or MAC 3473 with a minimum grade of C.","Mathematics","Missy Shabazz, Alexander Wong, Erik Shute, Willard Keeran, Thomas Garrison, Collin Stebbins, Luke Fontan, Abby Owens White, Michael Waite, Xiaochen Duan, Vincent Holmlund, Umesha Wijerathne, Hemaho Beaugard Taboe, Michael Maiello, Maitreyo Bhattacharjee, Jasen Lai, Aditya De Saha"
"MAD2502","Intro to Computational Math","Introduces mathematical computation and the Python programming language. Emphasizes using mathematical algorithms to solve problems in analysis, number theory, combinatorics, algebra, linear algebra, numerical analysis, and probability.","3","Prereq: MAC 2311 or MAC 3472, minimum grade of C.","Mathematics","Jason Harrington, Oluwabukunmi Adedeji"
"MAD4204","Introduction to Combinatorics 2","Matching theory, block designs, finite projective planes and error-correcting codes. Does not require MAD 4203.","3","Prereq: (MAC 2312 or MAC 2512 or MAC 3473) and (MAS 3300 or MHF 3202) with minimum grades of C.","Mathematics","Miklos Bona"
"MAD4301","Graph Theory","Theory and applications of graphs including connectivity, planarity, coloration, algorithms, and network flow.","3","Prereq: MAS 3300 with a minimum grade of C or MHF 3202 with a minimum grade of C.","Mathematics","Andrew Vince, Libin Rong"
"MAD4401","Introduction to Numerical Analysis","Numerical integration, nonlinear equations, linear and nonlinear systems of equations, differential equations and interpolation.","3","Prereq: MAS 3114 or MAS 4105 with a minimum grade of C and experience with a scientific programming language.","Mathematics","Jason Harrington, Nan Jiang, Dylan Connell"
"MAD6407","Numerical Analysis","Numerical techniques to solve systems of nonlinear equations to approximate functions, to compute derivatives, to evaluate integrals, and to integrate systems of differential equations. Introduction to numerical techniques for partial differential equations. Companion to MAD 6406.","3","Prereq: MAA 4212, MAA 5105, or MAA 5229; and programming language.","Mathematics","Sara Pollock"
"MAD7397","Topics in Combinatorial Theory II","Topics in Combinatorial Theory II","3","Prereq: MAD 7396.","Mathematics","Zachary Hamaker"
"MAE6940","Supervised Teaching","Supervised Teaching","0","Prereq: consent of graduate adviser.","Mathematics",""
"MAE6943","Internship in College Teaching","Internship in College Teaching","3","Prereq: consent of graduate adviser.","Mathematics",""
"MAP2302","Elementary Differential Equations","First-order ordinary differential equations, theory of linear ordinary differential equations, solution of linear ordinary differential equations with constant coefficients, the Laplace transform and its application to solving linear ordinary differential equations. (M)","3","Prereq: MAC 2312 or MAC 2512 or MAC 3473 with a minimum grade of C.","Mathematics","ALEXANDER YORK, Carol Demas, Chamila Malagoda Gamage, Wanchen Zhao, David Groisser, Larissa Williamson"
"MAP4102","Probability Theory and Stochastic Processes 2","Random walks and Poisson processes, martingales, Markov chains, Brownian motion, stochastic integrals and Ito's formula.","3","Prereq: STA 4321 with a minimum grade of C.","Mathematics","Arnaud Marsiglietti"
"MAP4305","Differential Equations for Engineers and Physical Scientists","The second course in differential equations. Topics include systems of linear differential equations, stability theory and phase plane analysis, power series solutions of differential equations, Sturm-Liouville boundary-value problems and special functions. Credit will be given for, at most, MAP 4305 or MAP 5304.","3","Prereq: MAP 2302 and (MAS 3114 or MAS 4105 or EGM 3344) with minimum grades of C.","Mathematics","Thialita Nascimento, Eros M Sunny, Maia Martcheva, Paul Robinson, Jacob Levenson"
"MAP4314","Dynamical Systems and Chaos","General theory of initial value problems, linear systems and phase portraits, linearization of nonlinear systems, stability and bifurcation theory, an introduction to chaotic dynamics","3","Prereq: MAP 2302 and (MAS 3114 or MAS 4105) with minimum grades of C.","Mathematics","Tracy Stepien"
"MAP4341","Elements of Partial Differential Equations","Introduces second-order linear partial differential equations (heat, wave and Laplace equations), separation of variables in PDEs, Sturm-Liouville eigenvalue problems, method of eigenfunction expansions (Fourier analysis) and Green's functions. Possible introduction to first-order PDEs and the method of characteristics. Credit will be given for, at most, MAP 4341 or MAP 5345.","3","Prereq: MAP 2302 and MAP 4305 with minimum grades of C.","Mathematics","Sergei Shabanov"
