"course_code","course_name","description","credits","prerequisites","department","instructors"
"PHY2060","Enriched Physics with Calculus 1","First of the enriched sequence for physics majors and others wishing a deeper understanding of mechanics, kinematics, conservation laws, harmonic motion, central forces and special relativity. This course affords students the ability to critically examine and evaluate the principles of the scientific method, model construction, and use the scientific method to explain natural experiences and phenomena.","3","Prereq: Degree-seeking students only; Coreq: MAC 2312 or the equivalent.","Physics","Mark Meisel"
"PHY2061","Enriched Physics with Calculus 2","Second course of the enriched sequence. Electricity and magnetism, including electrostatics, Gauss' law, potentials, vector analysis, Laplace's equation, conductors and insulators, circuits, magnetism, Maxwell's equations and E&M fields in matter. This course affords students the ability to critically examine and evaluate the principles of the scientific method, model construction, and use the scientific method to explain natural experiences and phenomena.","3","Prereq: PHY 2060 or instructor permission; Coreq: MAC 2313 or the equivalent.","Physics","Siyao Xu"
"PHY3063","Enriched Modern Physics","Theory of relativity and introduction to quantum theory. Course includes wave mechanics, quantum theory of solids, nuclear and particle physics and cosmology.","3","Credits: 3; Prereq: PHY 2061 or instructor permission, and MAP 2302 or the equivalent.","Physics","Jeffrey Andrews"
"PHY3101","Introduction to Modern Physics","Modern and atomic physics, relativity, wave phenomena and the basis of quantum physics.","3","Prereq: PHY 2049 or the equivalent.","Physics",""
"PHY3221","Mechanics 1","First part of PHY 3221/4222 sequence in classical mechanics emphasizing matrices, vector calculus, Newtonian mechanics, frames of reference, conservation laws and harmonic oscillation.","3","Prereq: PHY 2049 or the equivalent; Coreq: MAP 2302 or the equivalent.","Physics","Rachel Houtz"
"PHY3323","Electromagnetism 1","First part of the PHY 3323/4324 sequence in electromagnetism. Course covers static electric and magnetic fields, electric circuits, Maxwell's equations, radiation and propagation of electromagnetic waves.","3","Prereq: (PHY 2049 or PHY 2061, or the equivalent) or (MAP 2302 or the equivalent).","Physics","Edwin Eduardo Pedrozo Penafiel"
"PHY3513","Thermal Physics 1","First part of the PHY 3513/4523 sequence that includes treatment of classical thermodynamics, including fundamental postulates, entropy and equations of states; thermodynamic equilibrium and potentials; Maxwell relations and phase transitions.","3","Prereq: PHY 2049 or PHY 2061.","Physics","Amlan Biswas"
"PHY4222","Mechanics 2","Second part of the sequence in classical mechanics studying rigid body mechanics; motion in a non-inertial frame, Lagrangian and Hamiltonian dynamics; elements of fluid mechanics; and relativity theory.","3","Prereq: PHY 3221 and differential equations.","Physics","Sergey Klimenko"
"PHY4324","Electromagnetism 2","The second in the PHY 3323/4324 electromagnetism sequence studying static electric and magnetic fields, electric circuits, Maxwell's equations, radiation and propagation of electromagnetic waves.","3","Prereq: PHY 3323 and differential equations.","Physics","Yasumasa Takano"
"PHY4523","Statistical Physics","Second of the PHY 3513/4523 sequence. Introduction to statistical physics and continued study of classical thermodynamics, including fundamental postulates, entropy and equations of states; thermodynamic equilibrium and potentials; Maxwell relations and phase transitions.","3","Prereq: PHY 3513 and PHY 4604; differential equations.","Physics","Yoonseok Lee"
